Order,Product Name,Release Date,First appearance,MSRP
1,Gundam Exia,2007-10-12,Mobile Suit Gundam 00,1320
2,Union Flag,2007-10,Mobile Suit Gundam 00,1100
3,Gundam Dynames,2007-11,Mobile Suit Gundam 00,1320
4,Gundam Kyrios,2007-11,Mobile Suit Gundam 00,1650
5,Tieren Ground Type,2007-11-25,Mobile Suit Gundam 00,1320
6,Gundam Virtue,2007-12,Mobile Suit Gundam 00,1650
7,Graham’s Union Flag Custom,2007-12,Mobile Suit Gundam 00,1100
8,Tieren Taozi,2008-01,Mobile Suit Gundam 00,1650
9,Gundam Throne Eins,2008-02,Mobile Suit Gundam 00,1760
10,Tieren Space Type,2008-02,Mobile Suit Gundam 00,1650
11,Over Flag,2008-03-20,Mobile Suit Gundam 00,1320
12,Gundam Throne Zwei,2008-03-22,Mobile Suit Gundam 00,1760
13,GN Arms Type-E,2008-03-14,Mobile Suit Gundam 00,6050
14,Gundam Throne Drei,2008-04,Mobile Suit Gundam 00,1760
15,Gundam Nadleeh,2008-04,Mobile Suit Gundam 00,1320
16,Tieren Space Commander Type,2008-05,Mobile Suit Gundam 00,1650
17,Ali al-Saachez’s AEU Enact Custom Agrissa Type,2008-06,Mobile Suit Gundam 00,1100
18,GN-X,2008-07-19,Mobile Suit Gundam 00,1320
19,AEU Enact Demonstration color,2008-08,Mobile Suit Gundam 00,1100
20,Ali al-Saachez’s AEU Enact Custom (Moraria Development Experiment Type),2008-09,Mobile Suit Gundam 00,1100
21,GN Arms Type-D,2008-09-23,Mobile Suit Gundam 00,6600
22,00 Gundam,2008-08-24,Mobile Suit Gundam 00,1100
23,GN-X III A-Laws Type,2008-10,Mobile Suit Gundam 00,1320
24,Cherudim Gundam,2008-10,Mobile Suit Gundam 00,1320
25,Ahead,2008-11-08,Mobile Suit Gundam 00,1320
26,Seravee Gundam,2008-11-22,Mobile Suit Gundam 00,1760
27,Mr. Bushido’s Ahead,2008-12-06,Mobile Suit Gundam 00,1320
28,Arios Gundam,2008-12,Mobile Suit Gundam 00,1650
29,GN Archer,2009-01,Mobile Suit Gundam 00,1320
30,Gadessa,2009-01,Mobile Suit Gundam 00,1650
31,Gundam Exia Trans-Am Mode,2009-01,Mobile Suit Gundam 00,1320
32,Gundam Dynames Trans-Am Mode,2009-01,Mobile Suit Gundam 00,1320
33,Gundam Kyrios Trans-Am Mode,2009-01,Mobile Suit Gundam 00,1650
34,Gundam Virtue Trans-Am Mode,2009-01,Mobile Suit Gundam 00,1650
35,O Raiser,2009-01,Mobile Suit Gundam 00,880
36,GN-X III ESF Type,2009-01,Mobile Suit Gundam 00,1320
37,Seraphim Gundam,2009-02,Mobile Suit Gundam 00,1100
38,00 Raiser Designer’s Color version,2009-02-13,Mobile Suit Gundam 00,1980
39,Sergei’s Tieren Taozi,2009-02,Mobile Suit Gundam 00,1650
40,Garazzo,2009-03,Mobile Suit Gundam 00,1650
41,Ahead Smultron,2009-04-09,Mobile Suit Gundam 00,1320
42,Trans-Am Raiser,2009-04-29,Mobile Suit Gundam 00,2200
43,Arche Gundam,2009-04,Mobile Suit Gundam 00,1760
44,Gundam Exia Repair II,2010-06-06,Mobile Suit Gundam 00,1320
45,0 Gundam (Type A.C.D.),2009-06-06,Mobile Suit Gundam 00,1320
46,Susanowo,2009-06,Mobile Suit Gundam 00,1650
47,Hilling Care’s Carazzo,2009-06,Mobile Suit Gundam 00,1650
48,Cherudim Gundam GNHW/R,2009-07,Mobile Suit Gundam 00,1980
49,Gaddess,2009-08,Mobile Suit Gundam 00,1760
50,Arios Gundam GNHW/R,2009-08,Mobile Suit Gundam 00,1980
51,Seravee Gundam GNHW/R,2009-09-04,Mobile Suit Gundam 00,1980
52,0 Gundam,2009-09-04,Mobile Suit Gundam 00,1320
53,Reborns Gundam,2009-08-10,Mobile Suit Gundam 00,1980
54,00 Raiser + GN Sword III,2009-10-15,Mobile Suit Gundam 00,2200
55,Masurao,2009-12-10,Mobile Suit Gundam 00,1650
56,Cherudim Gundam Trans-Am Mode,2009-12-17,Mobile Suit Gundam 00,1320
57,Arios Gundam Trans-Am Mode,2009-12-17,Mobile Suit Gundam 00,1650
58,Seravee & Seraphim Gundam Trans-Am Mode,2009-12-17,Mobile Suit Gundam 00,2640
59,Susanowo Trans-Am Mode,2010-01-08,Mobile Suit Gundam 00,1650
60,Reborns Gundam Trans-Am Mode,2010-01-14,Mobile Suit Gundam 00,1980
61,00 Gundam Seven Sword/G,2010-02-10,Mobile Suit Gundam 00V: Battlefield Record,1760
62,Gundam Astraea Type-F,2010-04-22,Mobile Suit Gundam 00F,1980
63,1.5 Gundam,2010-05-19,Mobile Suit Gundam 00V: Battlefield Record,1980
64,Gundam Avalanche Exia Dash,2010-06-24,Mobile Suit Gundam 00V: Battlefield Record,2200
65,Gundam Astraea,2010-07-22,Mobile Suit Gundam 00P,1760
66,00 QAN[T],2010-08-07,Mobile Suit Gundam 00 The Movie -A Wakening of the Trailblazer-,1760
67,Gundam Zabanya,2010-08-28,Mobile Suit Gundam 00 The Movie -A Wakening of the Trailblazer-,1980
68,Gundam Harute,2010-09-18,Mobile Suit Gundam 00 The Movie -A Wakening of the Trailblazer-,1980
69,Raphael Gundam,2010-09-24,Mobile Suit Gundam 00 The Movie -A Wakening of the Trailblazer-,2200
70,00 Raiser GN Condensor Type,2010-10-09,Mobile Suit Gundam 00 The Movie -A Wakening of the Trailblazer-,2200
71,Brave Commander,2010-11-13,Mobile Suit Gundam 00 The Movie -A Wakening of the Trailblazer-,1760
72,Brave Standard,2010-11-13,Mobile Suit Gundam 00 The Movie -A Wakening of the Trailblazer-,1760
